entry_time,exit_time,ride_preference_1,ride_preference_2,ride_preference_3
12,16,Himalaya Ride,Merry Go Round,Giga Coaster
10,15,Spinning Coaster,Merry Go Round,Flying Coaster
11,15,Giga Coaster,Flying Coaster,Circus Train
13,18,Rapids Ride,Kiddie Coaster,Flying Coaster
10,14,Kiddie Coaster,Water Ride,Bumper Cars
14,18,Giant Wheel,Flying Coaster,Giant Wheel
10,14,Go-Karts,Kiddie Coaster,Go-Karts
10,17,Free Fall,Drop Tower,Rapids Ride
10,17,Inverted Coaster,Merry Go Round,Flying Coaster
11,16,Haunted House,Go-Karts,Himalaya Ride
14,18,Flying Coaster,Flying Coaster,Swing Ride
13,18,Inverted Coaster,Giant Wheel,Flying Coaster
11,17,Spinning Coaster,Flying Coaster,Free Fall
11,18,Spinning Coaster,Spinning Coaster,Superman Ride
13,18,Flying Coaster,Bumper Cars,Spinning Coaster
10,17,Merry Go Round,Flying Coaster,Flying Coaster
11,17,Giant Wheel,Flying Coaster,Flying Coaster
11,17,Oz Theatre,Go-Karts,Giant Wheel
13,17,Giant Wheel,Inverted Coaster,Giant Wheel
10,14,Giant Wheel,Merry Go Round,Crazy Dance
12,17,Flying Coaster,Spinning Coaster,Go-Karts
13,18,Roller Coaster,Flying Coaster,Flying Coaster
14,18,Giga Coaster,Go-Karts,Merry Go Round
14,18,Kiddie Coaster,Superman Ride,Merry Go Round
10,16,Merry Go Round,Superman Ride,Swing Ride
10,18,Go-Karts,Go-Karts,Flying Coaster
10,16,Free Fall,Merry Go Round,Circus Train
12,16,Merry Go Round,Flying Coaster,Flying Coaster
12,17,Merry Go Round,Circus Train,Flying Coaster
12,16,Spinning Coaster,Bumper Cars,Flying Coaster
12,16,Flying Coaster,Giant Wheel,Merry Go Round
12,18,Go-Karts,Go-Karts,Bungee Jump
13,18,Flying Coaster,Merry Go Round,Water Ride
12,16,Bungee Jump,Merry Go Round,Go-Karts
14,18,Merry Go Round,Go-Karts,Flying Coaster
10,16,Inverted Coaster,Haunted House,Giant Wheel
14,18,Dizzy Dropper,Flying Coaster,Giga Coaster
14,18,Giant Wheel,Bungee Jump,Flying Coaster
13,18,Go-Karts,Flying Coaster,Flying Coaster
13,18,Merry Go Round,Himalaya Ride,Flying Coaster
10,16,Flying Coaster,Bungee Jump,Bumper Cars
12,18,Merry Go Round,Spinning Coaster,Flying Coaster
13,18,Merry Go Round,Water Ride,Go-Karts
13,18,Bumper Cars,Zipline,Go-Karts
14,18,Kiddie Coaster,Circus Train,Flying Coaster
14,18,Spinning Coaster,Bumper Cars,Flying Coaster
11,17,Bungee Jump,Spinning Coaster,Bumper Cars
12,17,Merry Go Round,Flying Coaster,Go-Karts
11,18,Merry Go Round,Circus Train,Spinning Coaster
10,18,Haunted House,Bumper Cars,Flying Coaster
10,17,Merry Go Round,Zipline,Flying Coaster
13,17,Oz Theatre,Merry Go Round,Merry Go Round
14,18,Go-Karts,Giant Wheel,Zipline
10,14,Go-Karts,Merry Go Round,Merry Go Round
13,17,Merry Go Round,Flying Coaster,Flying Coaster
11,16,Spinning Coaster,Water Ride,Flying Coaster
14,18,Flying Coaster,Flying Coaster,Swing Ride
14,18,Kiddie Coaster,Circus Train,Kiddie Coaster
11,15,Circus Train,Flying Coaster,Crazy Dance
14,18,Flying Coaster,Spinning Coaster,Merry Go Round
10,14,Kiddie Coaster,Flying Coaster,Bungee Jump
11,18,Superman Ride,Spinning Coaster,Bumper Cars
12,16,Spinning Coaster,Spinning Coaster,Superman Ride
13,17,Spinning Coaster,Kiddie Coaster,Go-Karts
10,17,Rapids Ride,Haunted House,Flying Coaster
14,18,Flying Coaster,Himalaya Ride,Flying Coaster
12,18,Circus Train,Flying Coaster,Bungee Jump
11,17,Flying Coaster,Circus Train,Go-Karts
11,16,Spinning Coaster,Go-Karts,Inverted Coaster
13,17,Oz Theatre,Merry Go Round,Circus Train
10,18,Flying Coaster,Spinning Coaster,Water Ride
10,16,Himalaya Ride,Crazy Dance,Spinning Coaster
11,15,Spinning Coaster,Giant Wheel,Inverted Coaster
14,18,Flying Coaster,Kiddie Coaster,Roller Coaster
11,15,Merry Go Round,Inverted Coaster,Rapids Ride
10,16,Bungee Jump,Flying Coaster,Rapids Ride
12,18,Drop Tower,Flying Coaster,Roller Coaster
11,17,Flying Coaster,Flying Coaster,Giant Wheel
13,18,Go-Karts,Flying Coaster,Merry Go Round
12,16,Spinning Coaster,Flying Coaster,Flying Coaster
14,18,Flying Coaster,Crazy Dance,Bumper Cars
11,15,Circus Train,Flying Coaster,Flying Coaster
12,17,Spinning Coaster,Circus Train,Superman Ride
14,18,Swing Ride,Rapids Ride,Merry Go Round
11,15,Bungee Jump,Rapids Ride,Spinning Coaster
12,18,Merry Go Round,Go-Karts,Go-Karts
11,15,Haunted House,Merry Go Round,Bungee Jump
13,18,Giant Wheel,Rapids Ride,Drop Tower
14,18,Bungee Jump,Go-Karts,Spinning Coaster
11,16,Water Ride,Oz Theatre,Merry Go Round
14,18,Spiral Slide,Flying Coaster,Spinning Coaster
12,17,Flying Coaster,Flying Coaster,Flying Coaster
10,18,Flying Coaster,Flying Coaster,Swing Ride
11,16,Flying Coaster,Giant Wheel,Merry Go Round
11,18,Flying Coaster,Flying Coaster,Flying Coaster
13,18,Swing Ride,Merry Go Round,Merry Go Round
12,18,Go-Karts,Giant Wheel,Merry Go Round
13,17,Spinning Coaster,Go-Karts,Zipline
14,18,Flying Coaster,Superman Ride,Spiral Slide
10,17,Merry Go Round,Spinning Coaster,Flying Coaster
13,18,Merry Go Round,Rapids Ride,Inverted Coaster
12,16,Flying Coaster,Bungee Jump,Go-Karts
11,17,Flying Coaster,Flying Coaster,Rapids Ride
11,18,Flying Coaster,Water Ride,Crazy Dance
12,17,Superman Ride,Go-Karts,Inverted Coaster
11,16,Rapids Ride,Flying Coaster,Inverted Coaster
12,16,Inverted Coaster,Go-Karts,Himalaya Ride
10,18,Bumper Cars,Flying Coaster,Spinning Coaster
10,15,Merry Go Round,Flying Coaster,Free Fall
12,18,Go-Karts,Merry Go Round,Bumper Cars
11,17,Roller Coaster,Flying Coaster,Superman Ride
12,17,Circus Train,Flying Coaster,Flying Coaster
13,18,Swing Ride,Go-Karts,Merry Go Round
12,18,Giant Wheel,Flying Coaster,Circus Train
12,18,Inverted Coaster,Giant Wheel,Bungee Jump
13,17,Go-Karts,Spinning Coaster,Go-Karts
11,18,Flying Coaster,Circus Train,Flying Coaster
10,18,Inverted Coaster,Flying Coaster,Flying Coaster
10,16,Flying Coaster,Merry Go Round,Flying Coaster
10,16,Giant Wheel,Flying Coaster,Inverted Coaster
13,17,Flying Coaster,Dizzy Dropper,Spinning Coaster
14,18,Merry Go Round,Flying Coaster,Go-Karts
13,17,Giant Wheel,Go-Karts,Spinning Coaster
12,17,Bumper Cars,Bumper Cars,Rapids Ride
13,18,Flying Coaster,Merry Go Round,Flying Coaster
12,17,Inverted Coaster,Inverted Coaster,Himalaya Ride
13,17,Spinning Coaster,Flying Coaster,Flying Coaster
14,18,Spiral Slide,Flying Coaster,Spiral Slide
10,14,Flying Coaster,Merry Go Round,Drop Tower
10,17,Oz Theatre,Go-Karts,Bumper Cars
