iter	RMSE
0	15671.85535
1	15299.50417
2	15012.81679
3	14679.74345
4	14450.13871
5	14192.02864
6	14032.25561
7	13889.06135
8	13758.22338
9	13696.47602
10	13558.5509
11	13414.1929
12	13320.03794
13	13213.09865
14	13104.38336
15	12999.27321
16	12915.41238
17	12831.868
18	12780.01819
19	12686.57996
20	12624.24855
21	12595.48169
22	12541.90372
23	12509.4688
24	12462.54209
25	12417.37062
26	12361.24477
27	12339.11882
28	12314.0179
29	12270.16912
30	12231.85586
31	12211.25834
32	12184.23535
33	12158.92846
34	12130.619
35	12103.23283
36	12085.82667
37	12028.6382
38	12010.79197
39	11994.3605
40	11957.81912
41	11940.06357
42	11924.27386
43	11904.58576
44	11877.93516
45	11841.09352
46	11827.96979
47	11790.79678
48	11778.95553
49	11730.15673
